word,articles,translation,context,level
Jahr,das,,,3
Mal,das,,,4
Zeit,die,,,5
Beispiel,das,,,5
Deutsche,die,,,6
Deutscher,der,,,6
Deutsch,das,,,6
Tag,der,,,6
Frau,die,,,6
Kind,das,,,6
Aspekt,der,,,6
Mensch,der,,,6
Mann,der,,,7
Haus,das,,,8
Frage,die,,,8
Land,das,,,8
Prozent,das,,,9
Leute,die,,,9
Fall,der,,,9
Hand,die,,,9
Arbeit,die,,,9
Teil,der,,,10
Problem,das,,,10
Herr,der,,,10
Stadt,die,,,10
Welt,die,,,10
Ende,das,,,11
Million,die,,,11
Schule,die,,,11
Recht,das,,,11
Woche,die,,,11
Grund,der,,,12
Leben,das,,,12
Auge,das,,,12
Mutter,die,,,12
Seite,die,,,12
Vater,der,,,12
Art,die,,,13
Bereich,der,,,13
Weg,der,,,13
Geld,das,,,13
Sache,die,,,13
Wort,das,,,13
Name,der,,,14
Stunde,die,,,14
Gesellschaft,die,,,14
Kopf,der,,,14
Geschichte,die,,,14
Bild,das,,,15
Mark,die,,,15
Paar,das,,,15
Möglichkeit,die,,,15
Stelle,die,,,15
Unternehmen,das,,,15
Buch,das,,,15
Form,die,,,15
Wasser,das,,,15
Sinn,der,,,16
Familie,die,,,16
Aufgabe,die,,,16
Universität (Uni),die,,,16
Abend,der,,,16
Entwicklung,die,,,16
Morgen,der,,,16
Monat,der,,,16
Nacht,die,,,17
Person,die,,,17
Ziel,das,,,17
Ding,das,,,17
Euro,der,,,17
Freund,der,,,17
Blick,der,,,17
Staat,der,,,17
Thema,das,,,17
Raum,der,,,17
System,das,,,18
Platz,der,,,18
Wert,der,,,18
Uhr,die,,,18
Zahl,die,,,18
Minute,die,,,18
Straße,die,,,18
Gruppe,die,,,18
Eltern,die,,,18
Anfang,der,,,19
Ort,der,,,19
Gesicht,das,,,19
Sprache,die,,,19
Moment,der,,,19
Rolle,die,,,20
Interesse,das,,,20
Bedeutung,die,,,20
Text,der,,,20
Folge,die,,,20
Tür,die,,,20
Milliarde,die,,,20
Krieg,der,,,20
Schüler,der,,,20
Ergebnis,das,,,20
Gespräch,das,,,21
Meter,der,,,21
Wohnung,die,,,21
Stück,das,,,21
Regierung,die,,,21
Weise,die,,,21
Situation,die,,,22
Abbildung,die,,,22
Jahrhundert,das,,,22
Lehrer,der,,,22
Begriff,der,,,22
Punkt,der,,,22
Funktion,die,,,22
Boden,der,,,22
Preis,der,,,22
Sohn,der,,,22
Kunst,die,,,23
Angst,die,,,23
Information,die,,,23
Werk,das,,,23
Politik,die,,,23
Richtung,die,,,23
Stimme,die,,,23
Musik,die,,,23
Programm,das,,,23
Rahmen,der,,,23
Schritt,der,,,24
Gott,der,,,24
Absatz,der,,,24
Beruf,der,,,24
Auto,das,,,24
Regel,die,,,24
Beziehung,die,,,24
Markt,der,,,25
Gefühl,das,,,25
Licht,das,,,25
Tisch,der,,,25
Spiel,das,,,25
Präsident,der,,,25
Zukunft,die,,,25
Erfahrung,die,,,25
Partei,die,,,25
Bank,die,,,25
Tochter,die,,,25
Mädchen,das,,,26
Kirche,die,,,26
Verhältnis,das,,,26
Doktor,der,,,26
Gedanke,der,,,26
Film,der,,,26
Zusammenhang,der,,,27
Gesetz,das,,,27
Firma,die,,,27
Student,der,,,27
Entscheidung,die,,,27
Prozess,der,,,27
Arm,der,,,27
Kraft,die,,,27
September,der,,,27
Betrieb,der,,,27
Zeitung,die,,,28
Angebot,das,,,28
Grenze,die,,,28
Chance,die,,,28
Satz,der,,,28
Zuhause,das,,,28
Erfolg,der,,,28
Mitglied,das,,,29
Leistung,die,,,29
Lage,die,,,29
Pro,das,,,29
Projekt,das,,,29
Kultur,die,,,29
Auftreten,das,,,30
Verhalten,das,,,30
Arzt,der,,,30
Zimmer,das,,,30
