word,articles,translation.en,level
Jahr,das,year,3
Mal,das,time,4
Zeit,die,time,5
Beispiel,das,example,5
Deutsch,das,German (language),6
Tag,der,day,6
Frau,die,"woman, wife, Mrs.",6
Kind,das,child,6
Aspekt,der,aspect,6
Mensch,der,"human being, man",6
Mann,der,man,7
Haus,das,house,8
Frage,die,question,8
Land,das,country,8
Prozent,das,percent,9
Leute,die,people,9
Fall,der,"fall, case",9
Hand,die,hand,9
Arbeit,die,work,9
Teil,der/das,"part; particle, piece",10
Problem,das,problem,10
Herr,der,"man, Mr.",10
Stadt,die,"city, town",10
Welt,die,world,10
Ende,das,end,11
Million,die,million,11
Schule,die,school,11
Recht,das,"right, law",11
Woche,die,week,11
Grund,der,"reason, basis",12
Leben,das,life,12
Auge,das,eye,12
Mutter,die,mother,12
Seite,die,"side, page",12
Vater,der,father,12
Art,die,"type, kind",13
Bereich,der,"area, region",13
Weg,der,"path, way",13
Geld,das,money,13
Sache,die,thing,13
Wort,das,word,13
Name,der,name,14
Stunde,die,hour,14
Gesellschaft,die,"society, company",14
Kopf,der,head,14
Geschichte,die,"history, story",14
Bild,das,picture,15
Mark,die,mark (former unit of German currency),15
Paar,das,"pair, couple",15
Möglichkeit,die,possibility,15
Stelle,die,place,15
Unternehmen,das,"enterprise, company",15
Buch,das,book,15
Form,die,"form, shape",15
Wasser,das,water,15
Sinn,der,"sense, meaning",16
Familie,die,family,16
Aufgabe,die,"task, assignment, job",16
Universität,die,university,16
Abend,der,evening,16
Entwicklung,die,development,16
Morgen,der,morning,16
Monat,der,month,16
Nacht,die,night,17
Person,die,person,17
Ziel,das,"destination, goal",17
Ding,das,thing,17
Euro,der,euro (unit of currency),17
Freund,der,friend,17
Blick,der,"look, view, glance",17
Staat,der,state,17
Thema,das,"subject, topic, theme",17
Raum,der,"room, space",17
System,das,system,18
Platz,der,"place, room, square",18
Wert,der,value,18
Uhr,die,"clock, watch, o'clock",18
Zahl,die,number,18
Minute,die,minute,18
Straße,die,street,18
Gruppe,die,group,18
Eltern,die,parents,18
Anfang,der,beginning,19
Ort,der,"place, town, location",19
Gesicht,das,face,19
Sprache,die,language,19
Moment,der,moment,19
Rolle,die,"roll, role",20
Interesse,das,interest,20
Bedeutung,die,"meaning, significance",20
Text,der,text,20
